order_id,customer_id,order_date,category,quantity,unit_price,discount_pct,city,payment_method,channel,customer_email
79,4725,2025-01-12,Cosmetique,4,2059.59,0,,CARTE,web,client4725@mail.com
80,3687,2024-08-14 23:34:49,Alimentaire,-1,2275.28,20,casablanca,carte,web,client3687@mail.com
81,1796,2024-08-28 19:34:17,Alimentaire,4,1145.04,20,Agadir,CARTE,web,client1796@mail.com
82,3291,2024-02-03 13:29:26,electronique,-1,1122.85,15,casablanca,,boutique,client3291@mail.com
83,2000,2025-04-10,electronique,2,1611.43,0,Casablanca,especes,mobile,client2000@mail.com
84,5540,2024-07-31 21:20:58,Alimentaire,2,834.83,0,rabat,especes,,client5540@mail.com
85,1211,14/05/2024,Alimentaire,2,,10,Casablanca,Carte ,Web,client1211@mail.com
86,4901,2025-04-04,Maison,1,1140.97,0,  Rabat  ,CARTE,web,client4901@mail.com
87,4290,12/03/2025,Alimentaire,-1,202.26,0,casablanca,virement,,client4290@mail.com
88,3663,2025-01-25,Textile,2,1145.21,0,  Rabat  ,Carte ,,client3663@mail.com
89,4699,21/08/2024,electronique,-1,1008.85,15,Tanger,Carte ,boutique,client4699@mail.com
90,4885,2024-03-09 03:19:17,Electronique,1,1091.05,15,CASABLANCA,,,client4885@mail.com
91,4365,2024-12-28,Cosmetique,1,2421.63,15,casablanca,especes,Web,client4365@mail.com
92,5556,11/01/2025,Maison,2,2021.91,0,Agadir,carte,mobile,client5556@mail.com
93,3783,2024-12-25 00:13:20,Electronique,1,1424.48,0,  Rabat  ,carte,,client3783@mail.com
94,3792,10/06/2024,Alimentaire,3,1946.55,0,Casablanca,especes,,client3792@mail.com
95,4629,2025-03-10,,-1,1047.18,0,Marrakech,carte,boutique,client4629@mail.com
96,5316,2024-11-11 01:39:12,Cosmetique,4,2461.43,5,rabat,especes,boutique,client5316@mail.com
97,5074,2025-03-16 06:23:48,,4,1340.8,15,casablanca,Carte ,web,client5074@mail.com
98,1637,16/11/2024,Electronique,4,1779.56,0,Tanger,virement,mobile,client1637@mail.com
99,3964,2024-03-31 15:54:00,Maison,2,1100.48,0,Tanger,Carte ,boutique,client3964@mail.com
100,1625,2025-06-06 23:03:18,Textile,2,2266.69,0,Rabat,especes,boutique,client1625@mail.com
101,1617,30/06/2024,electronique,-1,1891.03,,,Carte ,boutique,client1617@mail.com
102,4622,2024-11-06,Electronique,1,892.82,,Fes,carte,boutique,client4622@mail.com
103,1739,03/06/2025,TEXTILE,1,1135.34,5,Marrakech,,mobile,client1739@mail.com
104,3813,2024-03-27,Alimentaire,1,117.07,,fes ,virement,boutique,client3813@mail.com
105,3771,2024-02-23,Maison,3,183.46,20,rabat,Carte ,,client3771@mail.com
106,5773,24/05/2024,,4,339.8,0,rabat,Carte ,boutique,client5773@mail.com
107,5312,2024-04-05,Cosmetique,4,,10,CASABLANCA,virement,Web,client5312@mail.com
108,2269,2024-03-20 10:46:10,,1,1661.58,0,Agadir,especes,mobile,client2269@mail.com
109,2356,24/03/2025,Maison,3,1697.38,,Agadir,Carte ,Web,client2356@mail.com
110,4842,2024-07-17,,-1,1164.97,20,fes ,especes,mobile,client4842@mail.com
111,3048,23/02/2024,Textile,3,1395.26,0,rabat,especes,boutique,client3048@mail.com
112,4583,03/04/2024,electronique,3,2327.57,20,fes ,especes,Web,client4583@mail.com
113,1230,2024-11-22,Alimentaire,3,1982.62,10,Fes,Carte ,Web,client1230@mail.com
11,5158,22/07/2024,electronique,1,1357.66,0,Agadir,CARTE,web,client5158@mail.com
28,1317,2025-04-26 08:05:54,Electronique,-1,887.15,5,Rabat,Carte ,mobile,client1317@mail.com
116,5495,2025-06-24 15:24:36,TEXTILE,2,609.35,5,Tanger,carte,web,client5495@mail.com
117,5391,2024-01-17,electronique,2,1801.99,0,Agadir,especes,,client5391@mail.com
118,1701,2025-06-20 13:07:45,Maison,1,988.33,20,Marrakech,Carte ,web,client1701@mail.com
119,2975,2024-04-16,Alimentaire,3,350.86,15,,Carte ,Web,client2975@mail.com
120,2493,2024-05-18,electronique,-1,111.72,5,Casablanca,virement,,client2493@mail.com
121,4878,2024-09-16,electronique,2,729.56,0,,virement,web,client4878@mail.com
122,4276,26/03/2025,,1,1250.58,10,casablanca,carte,Web,client4276@mail.com
123,5468,2024-10-27 11:41:41,,1,833.24,,Agadir,especes,Web,client5468@mail.com
124,3888,2025-03-21,Alimentaire,1,206.1,15,fes ,carte,mobile,client3888@mail.com
125,4589,2024-02-05 04:35:45,Electronique,2,1950.72,20,Agadir,,mobile,client4589@mail.com
126,4047,2025-03-30,Textile,1,1333.06,10,Rabat,carte,mobile,client4047@mail.com
127,5601,30/04/2024,Textile,-1,552.13,,Rabat,especes,web,client5601@mail.com
128,4646,2024-03-30,Alimentaire,3,1779.66,10,rabat,Carte ,mobile,client4646@mail.com
129,1994,2024-07-24 05:03:22,Alimentaire,-1,85.18,15,Fes,,web,client1994@mail.com
130,4921,22/06/2025,TEXTILE,1,330.81,0,Fes,Carte ,,client4921@mail.com
131,5516,05/07/2024,Alimentaire,1,2081.85,10,CASABLANCA,virement,mobile,client5516@mail.com
132,3326,2024-03-21 09:07:27,Alimentaire,2,330.42,0,fes ,,,client3326@mail.com
133,5957,2024-12-11 20:31:14,Cosmetique,1,221.43,10,,,Web,client5957@mail.com
134,5469,23/10/2024,TEXTILE,-1,627.3,20,rabat,carte,web,client5469@mail.com
135,4804,2024-07-27,Alimentaire,1,795.2,15,Tanger,virement,,client4804@mail.com
136,4821,05/05/2024,,2,369.38,20,Agadir,especes,mobile,client4821@mail.com
137,3561,13/07/2024,,-1,1256.92,0,casablanca,,Web,client3561@mail.com
138,3890,19/02/2024,Electronique,-1,1501.85,,rabat,carte,Web,client3890@mail.com
139,3996,2025-02-16 13:19:24,Maison,4,146.87,15,fes ,carte,Web,client3996@mail.com
140,3291,2024-05-01 04:41:04,Cosmetique,4,945.53,15,CASABLANCA,,,client3291@mail.com
141,1318,20/05/2024,electronique,-1,389.37,0,Marrakech,especes,Web,client1318@mail.com
142,3451,2024-12-10,electronique,-1,1777.67,0,Marrakech,Carte ,web,client3451@mail.com
143,1218,2025-04-30,,2,1809.07,0,fes ,especes,mobile,client1218@mail.com
144,1900,14/07/2024,TEXTILE,3,1058.58,5,Tanger,Carte ,web,client1900@mail.com
145,5594,2024-11-28,electronique,4,798.11,15,fes ,Carte ,boutique,client5594@mail.com
146,3019,12/10/2024,Cosmetique,2,2354.88,10,  Rabat  ,Carte ,Web,client3019@mail.com
147,3240,2024-10-21,Maison,4,2241.49,15,CASABLANCA,carte,boutique,client3240@mail.com
148,4623,2024-09-19 17:26:33,Textile,2,2073.32,10,CASABLANCA,,,client4623@mail.com
149,5350,2024-08-19 23:13:36,Alimentaire,1,268.49,,casablanca,carte,,client5350@mail.com
150,4896,2025-05-03 23:41:07,Cosmetique,2,816.5,0,,,web,client4896@mail.com
151,2440,07/02/2024,Electronique,1,2342.79,10,Casablanca,virement,,client2440@mail.com
152,3744,2024-10-18,Cosmetique,-1,2225.36,,rabat,carte,boutique,client3744@mail.com
153,3107,2024-07-09,,3,1981.1,5,CASABLANCA,CARTE,,client3107@mail.com
154,1781,08/07/2024,TEXTILE,3,,20,Rabat,virement,boutique,client1781@mail.com
155,1093,24/09/2024,,2,174.07,10,CASABLANCA,Carte ,,client1093@mail.com
156,3547,30/04/2024,Alimentaire,3,1544.27,0,Fes,CARTE,,client3547@mail.com
157,4857,2024-08-11,Textile,1,1323.26,15,casablanca,carte,,client4857@mail.com
158,5396,02/06/2024,TEXTILE,-1,308.28,,casablanca,carte,Web,client5396@mail.com
159,5619,29/02/2024,Cosmetique,2,1813.73,0,  Rabat  ,,web,client5619@mail.com
160,1522,02/03/2024,,1,731.98,0,,virement,Web,client1522@mail.com
161,4092,2025-01-19,,1,1640.76,0,fes ,,mobile,client4092@mail.com
162,1028,24/01/2024,electronique,4,1339.2,5,Fes,especes,boutique,client1028@mail.com
163,1924,2024-02-02,Electronique,1,616.85,0,Fes,especes,web,client1924@mail.com
164,2779,2024-02-27,electronique,2,600.72,15,Agadir,especes,boutique,client2779@mail.com
165,5270,14/08/2024,,2,171.17,0,,,Web,client5270@mail.com
166,4122,2025-06-21,TEXTILE,4,1032.48,0,fes ,especes,mobile,client4122@mail.com
167,4793,29/02/2024,Cosmetique,4,1402.07,5,rabat,virement,web,client4793@mail.com
168,1757,14/07/2024,Cosmetique,4,1690.71,0,Rabat,CARTE,mobile,client1757@mail.com
169,1125,2024-08-04,Cosmetique,1,1872.26,5,  Rabat  ,CARTE,mobile,client1125@mail.com
170,4118,2025-04-22,Textile,3,784.89,,Fes,Carte ,Web,client4118@mail.com
171,2664,14/01/2025,Maison,1,1415.06,0,Casablanca,,,client2664@mail.com
172,2248,2024-07-19 12:00:36,TEXTILE,4,1433.08,15,rabat,Carte ,Web,client2248@mail.com
173,3885,2024-06-22,Electronique,-1,476.44,0,fes ,carte,web,client3885@mail.com
174,2895,2024-03-10 05:29:55,TEXTILE,2,1274.22,,,carte,web,client2895@mail.com
175,1137,08/10/2024,Textile,1,1265.5,20,CASABLANCA,carte,,client1137@mail.com
176,5312,15/09/2024,Cosmetique,4,215.97,,Agadir,Carte ,mobile,client5312@mail.com
177,1660,02/02/2024,Alimentaire,4,955.38,0,  Rabat  ,carte,Web,client1660@mail.com
178,3713,2024-04-07 19:13:46,Electronique,2,544.31,,rabat,carte,boutique,client3713@mail.com
179,1269,2024-07-02 11:27:00,Maison,2,1475.85,20,casablanca,especes,,client1269@mail.com
180,4187,2024-12-05,electronique,1,1980.44,0,fes ,carte,web,client4187@mail.com
181,3790,2025-02-10 11:52:58,,2,1963.2,5,Marrakech,CARTE,mobile,client3790@mail.com
182,1702,2024-10-29,,1,223.45,0,  Rabat  ,virement,boutique,client1702@mail.com
79,4725,2025-01-12,Cosmetique,4,2059.59,0,,CARTE,web,client4725@mail.com
184,3209,2024-04-14 04:49:27,Electronique,1,1088.83,20,casablanca,carte,boutique,client3209@mail.com
185,3657,29/01/2025,Alimentaire,4,981.74,5,Agadir,Carte ,Web,client3657@mail.com
186,3198,2025-05-19 05:18:47,electronique,1,1098.0,,casablanca,virement,mobile,client3198@mail.com
187,2601,2025-04-13 03:53:41,TEXTILE,2,36.78,20,Marrakech,virement,Web,client2601@mail.com
188,5869,19/05/2024,Maison,2,1207.94,20,Marrakech,Carte ,Web,client5869@mail.com
189,3669,20/01/2025,Electronique,3,302.44,0,,Carte ,Web,client3669@mail.com
190,3386,2024-03-11,Alimentaire,-1,365.16,10,,Carte ,Web,client3386@mail.com
191,5898,05/05/2025,Textile,4,1368.24,15,  Rabat  ,carte,mobile,client5898@mail.com
192,1362,13/02/2025,electronique,1,46.16,5,Fes,CARTE,Web,client1362@mail.com
193,5099,2024-06-03 12:33:35,Alimentaire,-1,279.28,0,casablanca,virement,boutique,client5099@mail.com
194,5268,09/05/2025,Maison,1,1106.65,15,casablanca,carte,web,client5268@mail.com
195,1895,2024-06-17,Cosmetique,1,1388.74,20,Fes,CARTE,mobile,client1895@mail.com
196,4240,2024-01-30 22:21:32,Maison,-1,1488.66,5,Rabat,Carte ,web,client4240@mail.com
197,5398,10/07/2024,electronique,2,1154.73,,fes ,,Web,client5398@mail.com
198,3850,2024-12-26,Textile,1,2038.07,10,Agadir,Carte ,mobile,client3850@mail.com
199,1958,2024-07-06,,1,1286.85,0,Agadir,CARTE,mobile,client1958@mail.com
200,2419,19/06/2024,Electronique,1,484.0,0,Marrakech,CARTE,mobile,client2419@mail.com
201,5600,01/06/2025,Alimentaire,4,1718.05,,Fes,carte,,client5600@mail.com
202,3392,2024-02-03 10:00:25,Textile,2,437.16,,fes ,,web,client3392@mail.com
203,4005,2024-02-12,Electronique,2,2474.64,5,rabat,CARTE,boutique,client4005@mail.com
204,4596,2024-04-30 08:37:36,Alimentaire,3,2155.4,20,CASABLANCA,especes,mobile,client4596@mail.com
205,5360,2024-10-14,Maison,1,822.66,10,Agadir,,web,client5360@mail.com
206,4371,2024-03-01,electronique,1,1759.54,0,  Rabat  ,especes,Web,client4371@mail.com
207,3201,28/02/2025,Maison,1,1591.4,0,Tanger,Carte ,boutique,client3201@mail.com
208,5767,2024-01-03,,-1,1594.4,0,fes ,especes,Web,client5767@mail.com
209,3644,2024-10-17,Electronique,1,1424.03,15,,carte,web,client3644@mail.com
210,1133,07/05/2024,Alimentaire,-1,21.68,5,  Rabat  ,Carte ,boutique,client1133@mail.com
211,3244,05/04/2024,,2,224.4,0,Casablanca,Carte ,boutique,client3244@mail.com
212,4516,2024-04-03 03:27:55,TEXTILE,2,1202.48,5,fes ,carte,web,client4516@mail.com
213,4459,2024-05-15 17:23:33,electronique,2,970.01,0,casablanca,virement,boutique,client4459@mail.com
214,2090,2024-05-26,Cosmetique,1,1533.59,15,  Rabat  ,Carte ,mobile,client2090@mail.com
215,4624,2024-08-10 03:09:22,,1,1886.07,20,Marrakech,virement,mobile,client4624@mail.com
216,3032,2024-10-18,,2,529.51,5,  Rabat  ,virement,web,client3032@mail.com
217,2960,2025-05-21 14:02:58,electronique,2,1258.96,0,Marrakech,especes,Web,client2960@mail.com
218,3993,2024-06-25 17:08:56,Electronique,1,,5,Casablanca,CARTE,,client3993@mail.com
219,4403,2025-03-09 14:38:47,electronique,1,708.12,5,CASABLANCA,CARTE,,client4403@mail.com
220,1541,2024-11-13,TEXTILE,2,163.61,20,casablanca,,,client1541@mail.com
221,2438,2024-05-02,Maison,1,1759.72,15,fes ,especes,boutique,client2438@mail.com
222,3201,30/04/2024,TEXTILE,4,694.51,0,Fes,,boutique,client3201@mail.com
223,2367,11/01/2025,Electronique,1,2237.79,0,Rabat,carte,web,client2367@mail.com
224,4137,2024-06-02 06:30:56,Textile,4,576.8,15,rabat,,boutique,client4137@mail.com
225,1431,2024-07-02,Maison,1,2386.12,,rabat,virement,web,client1431@mail.com
52,3476,2024-01-15 19:26:50,Alimentaire,2,132.88,10,  Rabat  ,Carte ,Web,client3476@mail.com
227,3489,05/09/2024,Electronique,-1,2494.51,5,CASABLANCA,CARTE,web,client3489@mail.com
228,1078,2024-12-09,Cosmetique,4,2125.53,0,Rabat,CARTE,Web,client1078@mail.com
229,2166,2024-10-13 03:23:13,Textile,2,2245.27,15,Fes,,web,client2166@mail.com
230,4230,2024-03-17,Maison,1,1098.76,5,rabat,virement,Web,client4230@mail.com
231,3605,2025-04-08 09:54:05,Textile,1,2360.02,0,CASABLANCA,especes,Web,client3605@mail.com
232,5390,01/01/2025,Maison,2,1169.1,0,CASABLANCA,Carte ,,client5390@mail.com
233,3685,2024-05-31,Maison,2,2421.63,0,,virement,mobile,client3685@mail.com
234,4704,12/09/2024,Cosmetique,1,2013.66,0,Casablanca,especes,mobile,client4704@mail.com
235,1688,2024-09-22 02:43:48,electronique,1,510.42,0,casablanca,carte,web,client1688@mail.com
236,5701,19/03/2025,Alimentaire,1,969.17,15,Rabat,virement,boutique,client5701@mail.com
237,3013,29/10/2024,Cosmetique,-1,171.23,0,Tanger,Carte ,,client3013@mail.com
238,5453,2024-01-20,electronique,3,1209.62,15,Agadir,CARTE,boutique,client5453@mail.com
239,2794,2024-01-31 10:13:42,Textile,-1,1332.99,5,CASABLANCA,especes,mobile,client2794@mail.com
240,1458,12/08/2024,Cosmetique,3,2339.31,0,CASABLANCA,,boutique,client1458@mail.com
241,5846,2024-01-29,Maison,1,1416.51,,fes ,especes,Web,client5846@mail.com
242,5928,2024-08-12,electronique,-1,21.7,5,CASABLANCA,Carte ,mobile,client5928@mail.com
243,3650,2024-03-01 00:47:52,electronique,1,1940.43,15,casablanca,Carte ,Web,client3650@mail.com
244,3642,2024-05-19,electronique,4,1983.77,15,CASABLANCA,especes,,client3642@mail.com
245,3412,2024-05-10,Electronique,1,2372.99,20,Agadir,especes,,client3412@mail.com
246,2809,2024-04-16 18:03:55,Textile,3,1868.45,15,CASABLANCA,Carte ,boutique,client2809@mail.com
247,3044,10/03/2024,,1,1806.63,,  Rabat  ,especes,Web,client3044@mail.com
248,5473,19/01/2025,Electronique,2,423.39,0,rabat,virement,boutique,client5473@mail.com
249,2393,2025-01-19,TEXTILE,1,1376.67,0,Marrakech,Carte ,web,client2393@mail.com
250,5975,2025-03-20 05:43:11,Maison,1,841.11,20,  Rabat  ,Carte ,boutique,client5975@mail.com
251,4218,2025-05-17 05:35:31,Textile,3,29.46,,Rabat,carte,mobile,client4218@mail.com
252,1671,29/04/2025,,4,1187.94,10,casablanca,especes,boutique,client1671@mail.com
253,4651,15/02/2024,Textile,-1,673.23,0,CASABLANCA,carte,boutique,client4651@mail.com
254,5831,2024-08-20 20:09:21,Cosmetique,4,2049.64,,Agadir,CARTE,boutique,client5831@mail.com
255,1284,2025-05-29,Cosmetique,1,318.3,0,CASABLANCA,especes,mobile,client1284@mail.com
256,4566,2024-07-25 22:50:11,,2,812.98,0,casablanca,,Web,client4566@mail.com
257,5257,2025-04-14,Textile,4,299.05,0,casablanca,virement,,client5257@mail.com
258,3163,27/01/2025,,-1,112.91,0,Agadir,carte,Web,client3163@mail.com
259,2946,20/02/2024,Maison,3,70.18,10,rabat,CARTE,web,client2946@mail.com
260,3461,29/03/2025,,4,1520.35,,Rabat,Carte ,Web,client3461@mail.com
261,1460,2025-06-11 05:47:16,Cosmetique,2,1779.73,0,CASABLANCA,especes,web,client1460@mail.com
262,3952,22/07/2024,Electronique,-1,1272.71,0,,especes,boutique,client3952@mail.com
263,4887,2024-12-24 12:32:01,,2,1877.42,10,Casablanca,carte,mobile,client4887@mail.com
264,2755,2024-08-14 23:34:13,Electronique,2,687.33,0,,CARTE,mobile,client2755@mail.com
265,1069,2024-08-17,,2,1787.6,10,Tanger,virement,Web,client1069@mail.com
266,5265,2025-02-10 21:16:49,Maison,1,1288.55,15,fes ,virement,web,client5265@mail.com
267,3264,28/11/2024,,2,487.13,5,Casablanca,Carte ,boutique,client3264@mail.com
268,5074,29/10/2024,Cosmetique,4,,5,Marrakech,Carte ,,client5074@mail.com
269,3936,2025-06-03 10:55:47,Alimentaire,1,748.58,10,  Rabat  ,Carte ,boutique,client3936@mail.com
270,2829,10/11/2024,Electronique,3,666.19,0,Fes,Carte ,,client2829@mail.com
271,4868,2024-07-18 18:13:18,Cosmetique,4,1334.0,0,CASABLANCA,virement,Web,client4868@mail.com
272,4748,2024-05-26,Electronique,1,1951.77,0,Marrakech,carte,Web,client4748@mail.com
273,2381,2024-06-11 17:49:29,TEXTILE,1,1543.91,20,Tanger,CARTE,web,client2381@mail.com
274,4056,2024-01-15,electronique,2,,5,Rabat,virement,mobile,client4056@mail.com
275,3507,2024-06-20 02:22:37,Alimentaire,2,2372.19,15,Tanger,virement,Web,client3507@mail.com
276,4304,2024-01-20 08:18:59,electronique,1,,0,casablanca,Carte ,web,client4304@mail.com
277,5380,2024-02-19 21:37:26,TEXTILE,1,,0,Tanger,CARTE,web,client5380@mail.com
278,2254,2024-07-29 22:56:56,Alimentaire,2,1063.76,10,Agadir,CARTE,web,client2254@mail.com
279,3315,26/04/2024,,2,1530.32,5,Marrakech,virement,mobile,client3315@mail.com
280,2701,2025-05-07 12:02:12,TEXTILE,1,51.62,0,Agadir,especes,web,client2701@mail.com
281,1829,2024-09-19 23:27:34,Textile,-1,2471.89,,Casablanca,especes,web,client1829@mail.com
282,3561,2025-03-12 04:13:11,electronique,1,43.99,0,Marrakech,CARTE,,client3561@mail.com
283,4052,2024-12-16 06:39:29,TEXTILE,4,1012.62,20,  Rabat  ,CARTE,mobile,client4052@mail.com
284,1480,12/06/2024,,-1,2009.62,0,Agadir,virement,,client1480@mail.com
285,2070,2025-05-09 17:46:19,Cosmetique,4,1112.91,15,Casablanca,Carte ,boutique,client2070@mail.com
286,1780,19/03/2025,Electronique,3,1666.0,0,fes ,carte,mobile,client1780@mail.com
287,5061,18/06/2024,Cosmetique,3,617.41,0,fes ,,Web,client5061@mail.com
288,4760,30/03/2025,Electronique,1,2144.34,0,Fes,carte,Web,client4760@mail.com
289,1001,2024-04-03,electronique,2,2227.48,,Marrakech,carte,mobile,client1001@mail.com
290,5914,29/04/2025,electronique,-1,302.78,5,Casablanca,virement,boutique,client5914@mail.com
291,1870,16/02/2024,Maison,1,2058.16,20,casablanca,,mobile,client1870@mail.com
